Model Name,Year,Prices,Description,Version
iPhone 4S ,2011,199,"iPhone 4S (2011) - $199 (16GB), $299 (32GB), $399 (64GB)",4
iPhone 5 ,2012,199,"iPhone 5 (2012) - $199 (16GB), $299 (32GB), $399 (64GB)",5
iPhone 5S ,2013,199,"iPhone 5S (2013) - $199 (16GB), $299 (32GB), $399 (64GB)",6
iPhone 6 ,2014,199,"iPhone 6 (2014) - $199 (16GB), $299 (64GB), $399 (128GB)",7
iPhone 6S ,2015,199,"iPhone 6S (2015) - $199 (16GB), $299 (64GB), $399 (128GB)",8
iPhone 7 ,2016,649,"iPhone 7 (2016) - $649 (32GB), $749 (128GB), $849 (256GB)",9
iPhone 8 ,2017,699,"iPhone 8 (2017) - $699 (64GB), $849 (256GB)",10
iPhone XR ,2018,749,"iPhone XR (2018) - $749 (64GB), $799 (128GB), $899 (256GB)",11
iPhone 11 ,2019,699,"iPhone 11 (2019) - $699 (64GB), $749 (128GB), $849 (256GB)",12
iPhone 12 ,2020,799,"iPhone 12 (2020) - $799 (64GB), $849 (128GB), $949 (256GB)",13
iPhone 13 ,2021,799,"iPhone 13 (2021) - $799 (128GB), $899 (256GB), $1,099 (512GB)",14
,,,,
,,,,
,,,,
,,,,
